Period	Date observed	Latitude	Longitude	Environment	Urban	Rural	Suburban	Village_small_town	Surface cover under tree	grass_tree	undergrowth_tree	bare_soil_tree	litter_tree	artificial_tree	Surface cover in open	Grass_open	undergrowth_open	bare_soil_open	litter_open	artificial_open	surface_tree_cover	Distance to artificial light source (m)	0-5_light	5-10_light	10-20_light	20+light	Standing	Alone	Species	Approx distance to coast (km)	Dist. from thermometer under tree to edge of canopy (m)	Dist. from thermometer in open either to edge of the canopy of nearest tree or to nearest building (m)	Percentage canopy cover	Canopy index	T max open	T min open	T max canopy	T min canopy	T max open - T max canopy	T min open- T min canopy	Tmax_open-Tmin_open	Tmax_canopy-Tmin_canopy	D = (Tmax open - T min open) - (T max canopy - T min canopy)	Canopy_index_2	Ruralfactor	20+lightfactor
1	10/14/2016	51.1082205	-0.1954719	village or small town	0	0	0	1	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	alone	1	Quercus robur	36	2	5	71-80	75	20.6	10	20.9	10.3	-0.3	-0.3	10.6	10.6	0	5625	nrural	20+light
1	10/15/2016	51.557173	0.043655	urban	1	0	0	0	undergrowth	0	1	0	0	0	grass	1	0	0	0	0	undergrowth_grass	20+	0	0	0	1	with others	0	Quercus robur	32	5	20	71-80	75	15.6	7.7	18.6	8.9	-3	-1.2	7.9	9.7	-1.8	5625	nrural	20+light
1	9/29/2016	50.419015	-3.674232	rural	0	1	0	0	undergrowth	0	1	0	0	0	grass	1	0	0	0	0	undergrowth_grass	20+	0	0	0	1	with others	0	Quercus petraea	9.4	5.1	20	51-60	55	26	13.2	16.6	13.4	9.4	-0.2	12.8	3.2	9.6	3025	rural	20+light
1	10/20/2016	55.751094	-4.1469	suburban	0	0	1	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	with others	0	Quercus robur	37	10	10	71-80	75	13.7	1.6	11.8	3.6	1.9	-2	12.1	8.2	3.9	5625	nrural	20+light
1	10/12/2016	52.6955284	-1.993432	suburban	0	0	1	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	10-20	0	0	1	0	with others	0	Quercus robur	181	3	6	81-90	85	20	8	19.2	8	0.8	0	12	11.2	0.8	7225	nrural	n20+light
1	10/15/2016	51.135462	-0.07958	rural	0	1	0	0	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	20+	0	0	0	1	with others	0	Quercus robur	35	7	12	81-90	85	17	3.2	18.3	7.6	-1.3	-4.4	13.8	10.7	3.1	7225	rural	20+light
1	10/9/2016	52.6815536	-1.8062882	suburban	0	0	1	0	litter	0	0	0	1	0	grass	1	0	0	0	0	litter_grass	20+	0	0	0	1	with others	0	Quercus robur	130	4.3	20	81-90	85	18.4	4.1	16.7	9.4	1.7	-5.3	14.3	7.3	7	7225	nrural	20+light
1	11/4/2016	56.073692	-4.335384	village or small town	0	0	0	1	grass	1	0	0	0	0	grass	1	0	0	0	0	grass_grass	5-10	0	1	0	0	alone	1	other oak	32	1	5	11-20	15	9	0	7	-1	2	1	9	8	1	225	nrural	n20+light
1	10/18/2016	51.837271	1.243504	village or small town	0	0	0	1	undergrowth	0	1	0	0	0	bare soil	0	0	1	0	0	undergrowth_bare soil	5-10	0	1	0	0	with others	0	other oak	1.5	7	12	71-80	75	16.5	6.6	16.8	7.4	-0.3	-0.8	9.9	9.4	0.5	5625	nrural	n20+light
1	10/13/2016	55.952183	-4.08978	village or small town	0	0	0	1	grass	1	0	0	0	0	undergrowth	0	1	0	0	0	grass_undergrowth	20+	0	0	0	1	with others	0	Quercus robur	30	2	4	81-90	85	15.7	7.1	13	8.7	2.7	-1.6	8.6	4.3	4.3	7225	nrural	20+light
